Timestamp,Do you use the standard library’s lock types (Mutex or RwLock) in any of your projects?,Do you use locks from outside the standard library (such as from antidote or parking_lot) in any of your projects?,Which of these is closest to how you acquire locks? (Select all that apply),Have you ever thought carefully about lock poisoning in your projects?,"If so, what do you want to happen when a lock is poisoned? (Select all that apply)",Do you think you’ve benefited from the standard library’s lock types providing poisoning by default?,Do you use the standard library’s lock types or their guards in the public API of any of your projects?,"If so, what’s an example of how the standard library’s lock or guard types appear in the public API of any of your projects? (Please keep accidental information leakage in mind here and consider replacing names with placeholders)",How much friction do you think would be involved in migrating any of your projects from the standard library’s poisoning lock types to a non-poisoning lock crate like antidote or parking_lot? (That would mean replacing .lock().unwrap() with .lock()),Why do you use locks from outside the standard library? (Select all that apply),Do you implement poisoning some other way?,"If so, what do you want to happen when data is poisoned? (Select all that apply)",Would you use a poisoning implementation from the standard library if it was independent of Mutex or RwLock?
2020/09/19 1:50:31 AM GMT+10,Yes,,,,,,No,,None,No,No,,
2020/09/19 8:39:30 PM GMT+10,No,,,,,,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/09/20 2:00:50 AM GMT+10,Yes,,,,,,No,,None,,,,
2020/09/20 9:29:19 PM GMT+10,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,For performance,No,,No
2020/09/20 10:11:52 PM GMT+10,Yes,Yes,.lock().unwrap();.lock().map_err(PoisonGuard::into_inner),No,,No,No,,A manageable amount,For performance,No,,Yes
2020/09/22 11:46:02 AM GMT+10,Yes,No,.lock().map_err(PoisonGuard::into_inner),No,I want to access the data again,No,No,,A manageable amount,,,,
2020/09/23 9:14:44 PM GMT+10,Yes,No,.lock().unwrap();.lock()?,No,I want to access the data again,No,No,,A manageable amount,,,,
2020/09/24 3:06:29 AM GMT+10,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,None,,,,
2020/10/11 4:07:19 PM GMT+11,Yes,No,.lock()?,No,I want my program to terminate,No,Yes,,A manageable amount,,,,No
2020/10/14 4:34:08 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate,No,No,,None,For performance,No,I want my program to terminate,Yes
2020/12/12 1:22:04 AM GMT+11,No,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 1:26:37 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,None,For performance;For async/await,,I want my program to terminate;I never want to access the data again,No
2020/12/12 1:27:20 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to access the data again,No,No,,A manageable amount,For performance;For no-std;For async/await,No,,Yes
2020/12/12 1:30:12 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,For async/await,No,,No
2020/12/12 1:33:13 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate;I want to access the data again;I want to check and fix the data;I never want to access the data again,Yes,No,,None,For performance;For async/await,No,I want my program to terminate;I want to access the data again;I want to check and fix the data;I never want to access the data again,Yes
2020/12/12 1:33:48 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,None,For performance;For async/await,No,I want to access the data again,No
2020/12/12 1:37:26 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 1:41:08 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),No,,No,No,,None,,,,
2020/12/12 1:41:52 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to check and fix the data,Yes,,,A manageable amount,,,,
2020/12/12 1:45:52 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 1:46:25 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,For async/await,No,,No
2020/12/12 1:47:33 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner);.lock().context(SomeUsefulContextFromSnafu)?,Yes,I want my program to terminate;There isn't actually any data to worry about: `Mutex<()>`. This is used in tests to model an external resource.,Yes,No,,A manageable amount,To avoid having to write .lock.unwrap(),No,,Yes
2020/12/12 1:58:57 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 1:59:29 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 2:03:26 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to access the data again;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 2:11:43 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 2:12:31 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance,No,I want my program to terminate,No
2020/12/12 2:13:10 AM GMT+11,No,No,,,,,,,,,,,
2020/12/12 2:14:51 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 2:16:54 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,No,,No
2020/12/12 2:24:03 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 2:28:04 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,For performance,No,I want my program to terminate,Yes
2020/12/12 2:28:44 AM GMT+11,Yes,No,.lock().unwrap();match mutex.lock(),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 2:31:13 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to access the data again,No,No,,None,For performance;For async/await;APIs exposed by dependencies,No,,Yes
2020/12/12 2:33:56 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap(),No,,Yes
2020/12/12 2:36:40 AM GMT+11,Yes,No,.lock().unwrap();.lock()?;.lock().unwrap().context(T)?,Yes,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 2:37:47 AM GMT+11,No,Yes,,,,,,,,For async/await,No,,Yes
2020/12/12 2:45:17 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,,,
2020/12/12 3:09:17 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/12 3:09:51 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 3:26:38 AM GMT+11,Yes,No,.lock()?;.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I never want my program to terminate;I want to access the data again,No,No,,A manageable amount,,No,,Yes
2020/12/12 3:39:36 AM GMT+11,Yes,No,.lock()?,No,,No,No,,None,,No,,No
2020/12/12 3:49:12 AM GMT+11,No,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 3:52:11 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,Yes,I want my program to terminate;I never want to access the data again,Yes,Yes,impl SharedState { fn new() -> Arc<Mutex<Self>> { ... } },A manageable amount,,,,Yes
2020/12/12 4:00:16 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,Yes,,,None,To avoid having to write .lock.unwrap(),No,,No
2020/12/12 4:09:36 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 4:12:59 AM GMT+11,Yes,Yes,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,Yes,We have a crate which wraps the dashmap concurrent hash map crate and it returns refs that have lock guards on them.,A manageable amount,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 4:36:22 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to access the data again,No,No,,None,,,,
2020/12/12 4:38:43 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,,,,
2020/12/12 5:01:26 AM GMT+11,Yes,No,.lock().unwrap(),No,,,No,,None,,,,
2020/12/12 5:15:46 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,A manageable amount,For performance,No,,Yes
2020/12/12 5:33:41 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,,,,
2020/12/12 5:38:40 AM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 5:45:01 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,,,,
2020/12/12 5:55:25 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,,No,,A manageable amount,For performance,No,,Yes
2020/12/12 5:56:27 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate,No
2020/12/12 5:59:15 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,No
2020/12/12 6:04:13 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,No,No,,None,,,,
2020/12/12 6:09:18 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,Yes,"Having the choice of the behavior with different methods instead of just ""lock"" would be a good solution IMO",No,No,,None,,,,
2020/12/12 6:10:04 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want to access the data again;I want to check and fix the data,Yes,No,,None,For performance;For reentrant mutexes,No,,Yes
2020/12/12 6:18:15 AM GMT+11,Yes,No,.lock()?,Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,None,,,,
